keyword;search_date;closest_date;organic_position;asin
aa batteries;2022-11-01;2023-06-29;-1;B00NTCH52W
aa batteries;2022-11-01;2023-06-29;-1;B07PCDSBZM
aa batteries;2022-11-01;2023-06-29;1;B00NTCH52W
aa batteries;2022-11-01;2023-06-29;2;B07PCQW752
aa batteries;2022-11-01;2023-06-29;3;B07MLFBJG3
aa batteries;2022-11-01;2023-06-29;4;B0132XVLDG
aa batteries;2022-11-01;2023-06-29;-1;B07MLFBJG3
aa batteries;2022-11-01;2023-06-29;5;B093LVB4P7
aa batteries;2022-11-01;2023-06-29;6;B00LN803LE
aa batteries;2022-11-01;2023-06-29;7;B094R672D3
aa batteries;2022-11-01;2023-06-29;8;B000IX14RM
aa batteries;2022-11-01;2023-06-29;9;B07PCDSBZM
aa batteries;2022-11-01;2023-06-29;-1;B08VKQPKJ2
aa batteries;2022-11-01;2023-06-29;10;B07J4VQL94
aa batteries;2022-11-01;2023-06-29;11;B00W5C13K2
aa batteries;2022-11-01;2023-06-29;12;B093CBBKG8
aa batteries;2022-11-01;2023-06-29;13;B07L49RDJH
aa batteries;2022-11-01;2023-06-29;-1;B07F7RH8D4
aa batteries;2022-11-01;2023-06-29;14;B07NWT6YLD
aa batteries;2022-11-01;2023-06-29;15;B003OUWAQA
aa batteries;2022-11-01;2023-06-29;16;B086QC36G9
aa batteries;2022-11-01;2023-06-29;-1;B07KX2N355
desk;2022-11-01;2023-06-29;-1;B07GFFQZRQ
desk;2022-11-01;2023-06-29;-1;B0C6DYSBXN
desk;2022-11-01;2023-06-29;-1;B08GL98LG3
desk;2022-11-01;2023-06-29;-1;B08CBVGXZC
desk;2022-11-01;2023-06-29;1;B08238V32L
desk;2022-11-01;2023-06-29;2;B0BMG8XJ4W
desk;2022-11-01;2023-06-29;3;B0C7G6RZWP
desk;2022-11-01;2023-06-29;4;B0BVP23MD6
desk;2022-11-01;2023-06-29;5;B0C2YYWY1V
desk;2022-11-01;2023-06-29;6;B0BZHTHZPH
desk;2022-11-01;2023-06-29;-1;B08238V32L
desk;2022-11-01;2023-06-29;-1;B085ZBHZRJ
desk;2022-11-01;2023-06-29;-1;B09G9YV8HD
desk;2022-11-01;2023-06-29;-1;B0B5T55LZW
