"keyword";"search_date";"closest_date";"organic_position";"asin";"country";"title";"listed_since";"price";"currency";"seller_name";"seller_id";"reviews";"avg_review";"keywords_count";"private_label_amazon";"amazon_seller"
"aa batteries";"2022-11-01";"2023-06-29";-1;"B00NTCH52W";"de";"Amazon Basics AA-Alkali-Hochleistungsbatterien, 1,5 V, 10 Jahre lagerfähig, 20 Stück";"2014-10-10";8,1;"EUR";"Amazon";"A3JWKAKR8XB7XF";1629193;4,5;968;1;1
"aa batteries";"2022-11-01";"2023-06-29";3;"B07MLFBJG3";"de";"Amazon Basics AA- Alkali-Batterien, 1,5 V, 5 Jahre lagerfähig, 40 Stück";"2019-06-20";9,81;"EUR";"Amazon";"A3JWKAKR8XB7XF";129125;4,4;3021;1;1
"aa batteries";"2022-11-01";"2023-06-29";14;"B07NWT6YLD";"de";"Amazon Basics AA-NiMH-Akkus mit hoher Kapazität, wiederaufladbar, 2400 mAh, bis zu 400-mal aufladbar, vorgeladen, 12 Stück";"2019-02-21";15,73;"EUR";"Amazon";"A3JWKAKR8XB7XF";215304;4,4;2839;1;1
"aa batteries";"2022-11-01";"2023-06-29";-1;"B07KX2N355";"de";"Amazon Basics AAA-Alkali-Hochleistungsbatterien, 1,5 V, 10 Jahre lagerfähig, 12 Stück";"2021-06-02";5,72;"EUR";"Amazon";"A3JWKAKR8XB7XF";1628145;4,5;80;1;1
"office chair";"2022-11-01";"2023-06-29";-1;"B016ID34BO";"de";"Amazon Basics Bürostuhl, Schreibtischstuhl mit gepolsterter Rückseite, rückenfreundlich, höhenverstellbar, einfache Montage, 65 D x 61 W x 87.5-98 H cm, schwarz";"2015-10-12";113,44;"EUR";"Amazon";"A3JWKAKR8XB7XF";2147;4,1;461;1;1
"baby wipes";"2022-11-01";"2023-06-29";-1;"B07V2N4SJY";"de";"by Amazon Sensitive Babytücher, 1008 Feuchttücher, 18er-Packung á 56 Stück (Zuvor eine Marke von Mama Bear, gleiches Produkt)";"2020-02-04";13,58;"EUR";"Amazon";"A3JWKAKR8XB7XF";30391;4,7;3940;1;1
"baby wipes";"2022-11-01";"2023-06-29";8;"B07V5VR1F7";"de";"Amazon-Marke: Mama Bear Fresh Feuchttücher, Aloe Vera, 1008 Stück (18 Packungen mit 56 Stück), Verpackung kann variieren";"2020-02-04";13,58;"EUR";"Amazon";"A3JWKAKR8XB7XF";15037;4,7;4179;1;1
"baby wipes";"2022-11-01";"2023-06-29";16;"B085LQQ6MT";"de";"Amazon-Marke: Mama Bear Sensitive Baby Feuchttücher, Unparfümiert, 1008 Stück (18 packungen mit 56)";"2021-01-01";13,78;"EUR";"Amazon";"A3JWKAKR8XB7XF";5448;4,4;2694;1;1
"baby wipes";"2022-11-01";"2023-06-29";22;"B07V4S5Q57";"de";"Amazon-Marke - Mama Bear Ultra Sensitive Baby Feuchttücher, Unparfümiert, 1080 Stück (18 packungen mit 60)";"2020-02-04";12,39;"EUR";"Amazon";"A3JWKAKR8XB7XF";11629;4,3;3629;1;1
"bath towel";"2022-11-01";"2023-06-29";-1;"B00Q4TI6S4";"de";"Amazon Basics 2 Badetuch für Badezimmer, farbecht, 100 % Baumwolle, weich, saugfähig, 70 x 140 cm, 2 Stück, Grau";"2014-11-25";18,66;"EUR";"Amazon";"A3JWKAKR8XB7XF";50851;4,2;888;1;1
"bath towel";"2022-11-01";"2023-06-29";32;"B00Q4TK2W2";"de";"Amazon Basics – 6 Stück Handtuch-Set für Badezimmer, lichtbeständig, 100 % Baumwolle, weich und saugfähig, 2 Badetücher und 4 Händehandtuch, Schwarz";"2014-11-25";31,7;"EUR";"Amazon";"A3JWKAKR8XB7XF";50779;4,2;1091;1;1
"bed frame";"2022-11-01";"2023-06-29";22;"B07QL8WVPL";"de";"Amazon Basics Klappbares Plattform-Bettgestell, kein Werkzeug für Montage erforderlich, Unterbettaufbewahrung, 90 x 200 x 35.5 cm, Schwarz";"2019-12-14";69,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";1066;4,6;2855;1;1
"bed sheets";"2022-11-01";"2023-06-29";-1;"B06XFMT57Q";"de";"Amazon Basics Spannbettlaken, 180 x 200 x 30 cm, Mikrofaser, Spannbetttuch - Matratzenhöhe bis 30 cm, Hellgrau";"2017-03-06";9,3;"EUR";"Amazon";"A3JWKAKR8XB7XF";143582;4,2;371;1;1
"bed sheets";"2022-11-01";"2023-06-29";9;"B07G8T83TY";"de";"Amazon Basics Spannbettlaken, 200 x 200 cm, 100% Baumwolle, Jersey Spannbetttuch, Matratzenhöhe bis 30 cm, Dunkelgrau";"2019-07-04";17,62;"EUR";"Amazon";"A3JWKAKR8XB7XF";22129;4,5;13;1;1
"bed sheets";"2022-11-01";"2023-06-29";11;"B01E6XAT4S";"de";"Amazon Basics Spannbettlaken, 180 x 200 x 30 cm, Mikrofaser, Spannbetttuch - Matratzenhöhe bis 30 cm, Weiß";"2016-04-13";11,47;"EUR";"Amazon";"A3JWKAKR8XB7XF";143533;4,2;1182;1;1
"computer desk";"2022-11-01";"2023-06-29";-1;"B09HV13KNP";"de";"Amazon Basics Sitz-Steh-Schreibtisch, elektrisch höhenverstellbar, 120 x 60 cm, ergonomisch, mit einfacher Bedienung, Tischplatte aus Buchenholz, weißer Rahmen";"2023-01-30";139,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";298;4,2;151;1;1
"diapers";"2022-11-01";"2023-06-29";-1;"B08Y6VVTMG";"de";"Amazon-Marke: Mama Bear Ultra Dry Windeln Größe 5 (10-16 kg), Weiß, 76 Stück (1-er Pack)";"2021-06-21";16,39;"EUR";"Amazon";"A3JWKAKR8XB7XF";12897;4,2;234;1;1
"diapers";"2022-11-01";"2023-06-29";5;"B084N3VCDD";"de";"Amazon-Marke: Mama Bear Ultra Dry Windeln Größe 6 (15+ kg) - MONATSBOX, Weiß, 140 Stück (2 Packungen mit 70)";"2020-05-04";27,97;"EUR";"Amazon";"A3JWKAKR8XB7XF";12899;4,2;1094;1;1
